Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665299;Greenway, Alice;Weiße Geister;2009;220;Belletristik;Hong Kong, 1967: Während ihr Vater in Vietnam als Kriegsfotograf unterwegs ist, leben die beiden Schwestern Kate und Frankie in ihrer eigenen Welt, bis die politischen Wirren auch ihren Alltag berühren.
M595665648;Griffiths, Elly;Totenpfad;2009;320;Krimi;Als unweit einer prähistorischen Ausgrabungsstätte an der Küste Norfolks ein Skelett gefunden wird, bittet Detective Harry Nelson die Archäologin Ruth Galloway um ihre Mithilfe. Handelt es sich um die Überreste der kleinen Lucy, die vor 10 Jahren spurlos verschwand?
M595660892;Grzimek, Bernhard;Mein Leben;2009;553;Biografie;Mein Leben : Erinnerungen des Tierforschers
M595665872;Guelfenbein, Carla;Der Rest ist Schweigen;2010;333;Belletristik;Ist Schweigen wirklich immer Gold? Die chilenische Erfolgsautorin erzählt aus 3 Perspektiven eine Familiengeschichte, in der das Nicht-Ausgesprochene das Leben der Charaktere immer stärker prägt und belastet.
M599778632;Gulik, Robert van;Nagelprobe in Pei-tscho;2010;206;Krimi;China im 7. Jh.: während seiner Zeit als Bezirksvorsteher in der Provinz hat Richter Di gleichzeitig 4 mysteriöse Kriminalfälle zu lösen.
M59566509X;Hacke, Axel;Das Beste aus meinem Leben;2006;283;Belletristik;mein Alltag als Mann
M599778563;Harris, Robert;Pompeji;2007;304;Krimi;Im Jahre 79 n. Chr. wird der römische Wasserbaumeister Attilius am Golf von Neapel in ein Netz aus Intrigen und Machtspielen um wertvolle Wasserressourcen verwickelt, nicht ahnend, dass eine lebensbedrohliche Katastrophe bevorsteht.
M595665275;Hartl, Barbara;Drei große Schriftstellerinnen;2009;93;Biografie;Porträts der zzt. wohl erfolgreichsten Autorinnen Cornelia Funke, J.K. Rowling und Enid Blyton. Auf jeweils ca. 30 Seiten wird über die Bücher, die Filme und das Leben der Autorinnen berichtet. 
M595659326;Härtling, Peter;Die Lebenslinie;2007;108;Belletristik;eine Erfahrung
M595665661;Härtling, Peter;O'Bär an Enkel Samuel;2008;108;Belletristik;In seiner Erzählung vom Großvater O’Bär und seinem dreijährigen Enkel Samuel gelingt Peter Härtling eine spielerische und anrührende Verquickung von eigenem Erleben und literarischer Fiktion – und das Porträt einer innigen Beziehung
