Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665673;Körner, Torsten;Geschichten aus dem Speisewagen;2010;384;Belletristik;Ein Jahr lang bereist der Journalist Körner im Speisewagen der Bahn das Land, beobachtet und spricht mit Reisenden, die ihm ihre Freuden, Ängste, Probleme und Weltanschauungen anvertrauen.
M595660961;Koschyk, Heike;Hildegard von Bingen - ein Leben im Licht;2009;239;Biografie;Eine neue Biographie - klug recherchiert und anschaulich geschrieben.
M595659282;Kraft, Thomas;Jakob Wassermann;2008;259;Biografie;Darstellung von Leben, Werk und Zeitkontext des in den 20er-Jahren des letzten Jahrhunderts weltberühmten Romanciers (1873-1934).
M595665157;Kutscher, Volker;Der nasse Fisch;2008;542;Hist. Krimi;In Berlin 1929 ermittelt Kriminalkommissar Gereon Rath, eigentlich bei der Sittenpolizei tätig, auf eigene Faust in einem Mordfall. Dabei kommt er einem Komplott auf die Spur.
M595665449;Kutscher, Volker;Der stumme Tod;2010;541;Hist. Krimi;Gereon Raths zweiter Fall
M595665811;Lamb, Cathy;Blau wie Schokolade;2010;445;Frauen;Hals über Kopf verlässt Jeanne Stewart, um zu ihrem Bruder zu fahren. Unterwegs hält sie in Weltana, einem kleinen Ort in Oregon. Hier findet sie neue Freunde.
M595659363;Lappert, Rolf;Nach Hause schwimmen;2009;603;Belletristik;Wilbur ist vom Leben gezeichnet: Die Mutter stirbt bei seiner Geburt, der Vater macht sich vor Kummer aus dem Staub, der beste Freund verursacht einen Unfall, bei dem die geliebte Großmutter stirbt. Erst Aimee macht ihm Mut und überzeugt ihn davon, dass er nicht nur ein Verlierer ist.
M595664503;Lark, Sarah;Das Gold der Maori;2010;749;Frauen;Irland, 1845: Michael wird verurteilt und nach Australien verbannt. Seine Verlobte ist schwanger. Als ihr Vater das erfährt, verheiratet er sie mit einem Viehhändler und beide wandern nach Neuseeland aus. Währenddessen versucht Michael, aus dem Gefängnis auszubrechen, nicht ahnend, dass seine Verlobte ganz in seiner Nähe ist, aber verheiratet mit einem Anderen ...
M595661014;Larsson, Stieg  (1x);Verblendung;2006;687;Krimi;Wirtschaftsjournalist Mikael Blomkvist ist mithilfe von Lisbeth - einem Hackergenie - dem Verschwinden der jungen Harriet vor 40 Jahren auf der Spur. Ihr Großonkel ist sein Auftraggeber und verspricht ihm dafür Material gegen den betrügerischen Finanzmann Wennerström.
M595660948;Larsson, Stieg  (1x);Vergebung;2008;847;Krimi;3. und letzter Band mit dem Wirtschaftsjournalisten Mikael Blomkvist: Lisbeth Salander hat den Kampf gegen Alexander Zalatschenko, Drahtzieher mafiöser Machenschaften, knapp überlebt und steht unter Mordverdacht. Mikael Blomkvist setzt alles daran, ihre Unschuld zu beweisen. Auch als seine Ermittlungen von höchster Stelle behindert werden, setzt er seine Arbeit unbeirrt fort.
M595660924;Larsson, Stieg  (1x);Verdammnis;2008;765;Krimi;"Mikael Blomkvist bekommt für sein Magazin eine hochbrisante Story angeboten, die Würdenträger der schwedischen Gesellschaft mit Prostitution und Vergewaltigung in Verbindung bringt. Als seine ""Quelle"" tot aufgefunden wird, gerät Ermittlerin Lisbeth Salander in Verdacht: Ihre Fingerabdrücke sind auf der Tatwaffe ..."
M595661119;Lee, Janice Y.K.;Die Klavierlehrerin;2010;365;Belletristik;Hongkong, 1952: Der 2. Weltkrieg und die damalige Liaison Wills mit einer Eurasierin liegt wie ein Schatten auf der Liebesgeschichte der Klavierlehrerin Claire und Will.
M595665251;Leky, Mariana;Die Herrenausstatterin;2010;206;Frauen;Eine abenteuerliche Dreiecksgeschichte nimmt ihren Lauf, zwischen einer aus dem Alltag gefallenen Frau, einem überaus selbstbewussten Liebhaber und einem Toten, den allerdings nur Katja sehen kann. 
M595665543;Lenz, Siegfried;Der Mann im Strom ;2009;160;Belletristik;Der Taucher Hinrichs ist alt geworden. Um trotzdem Arbeit zu bekommen, sieht er nur einen einzigen Ausweg. 
M595665040;Lenz, Siegfried;Stadtgespräch;1998;356;Belletristik;Die Stadt liegt an einem Fjord, ihre Bewohner tragen nordische Namen. Das Leben in ihr geht seinen geordneten Gang. Nur einmal riß ein Ereignis die Stadt aus ihrem Dahinleben und dieses  Ereignis wurde zum Inhalt des Stadtgesprächs, das nicht verstummen wollte und im Laufe der Jahre viele Veränderungen erfuhr. 
M599778607;Liss, David;Die Papierverschwörung;2010;538;Krimi;London um 1720. Benjamin Weaver, der seiner jüdischen Familie mit ihren strengen Sitten den Rücken gekehrt hat, verdient seinen Lebensunterhalt als Faustkämpfer. Als sein Vater, ein Börsenmakler, stirbt, nimmt Weaver den Kontakt wieder auf und taucht bei seinen Ermittlungen über die Todesumstände in die für ihn neue Welt des Aktienhandels ein.
M595664527;Loriot;Das Frühstücksei;2008;285;Humor, Satire;gesammelte dramatische Geschichten mit Doktor Klöbner und Herrn Müller-Lüdenscheidt, Herrn und Frau Hoppenstedt, Erwin Lindemann u.v.a. / Loriot
M595665791;Loriot;Männer und Frauen passen einfach nicht zusammen;2006;92;Humor, Satire;Was morgens mit Problemen bei der Zubereitung des Frühstückseis beginnt, endet auch am Abend, wenn die Auffassungen darüber divergieren, wie man den Feierabend verbringen kann  und wann der Fernseher einen ins Bett schickt, noch lange nicht. 
M595665580;Loriot;Dramatische Werke;1995;311;Humor, Satire;Das vorliegende Kolossalwerk enthält mehr als fünfzig Dramen aus allen Lebensbereichen der Gegenwart.
M595665263;Lütz, Manfred;Irre! Wir behandeln die Falschen;2009;189;Psychologie ;"Dieser Eintrag umfaßt auch unveränderte Neuausgabe . - ""Um die Normalen zu verstehen, muss man erst die Verrückten studiert haben."" Gemäß dieser These wirbt der Autor für einen anderen Umgang mit Menschen, die an Erkrankungen der Psyche leiden und stellt auf humorvolle Weise Psychiatrie und Psychotherapie verständlich dar."
M595664682;Maasburg, Leo;Mutter Teresa;2010;239;Biografie;Geschichten aus der Zeit, in der der Autor Mutter Teresa auf ihren Reisen begleitete.
M595665916;Machfuss, Nagib;Die Midaq-Gasse;2010;286;Belletristik;Roman über die Bewohner einer kleinen Gasse in Kairo in den 40er Jahren, deren traditionelle Lebensweise von den Auswirkungen des 2. Weltkrieges erschüttert wird.
M595665884;Magnus, Ariel;Ein Chinese auf dem Fahrrad;2010;251;Belletristik;Ein Argentinier wird während einer Gerichtsverhandlung von dem chinesischen Angeklagten als Geisel genommen und taucht in eine für ihn völlig fremde, aber zunehmend faszinierende Welt ein.
M595665425;Mandela, Nelson;Der lange Weg zur Freiheit;1997;861;Autobiographie;Spannend erzählte Lebensgeschichte des Häuptlingssohnes (Jg. 1918), engagierten Freiheitskämpfers und seit 1994 Staatspräsidenten Südafrikas.
M595665823;Manseau, Peter;Bibliothek der unerfüllten Träume;2009;446;Belletristik;Ein junger Archivar übersetzt die Memoiren eines Dichters, der das Jiddische mit seinem Werk zu bewahren sucht. Diese Memoiren machen den Hauptbestandteil des Romans aus. In ihnen wird ein Stück jüdische Geschichte transparent.
M595664434;Marquardt, Walter;Sagen, Määrkens und Vertellen ut den Kreis Horborg un Ümto;2008;143;Plattdeutsch;Sagen, Määrkens und Vertellen ut den Kreis Horborg un Ümto = Sagen, Märchen und Anekdoten aus dem Kreis Harburg und seinem Umfeld / Wilhelm
M595665859;Matuschek, Oliver;Stefan Zweig;2006;405;Biografie;Drei Leben  -  Eine Biographie
M595664539;McEwan, Ian;Liebeswahn;2000;355;Belletristik;Clarissa und Joe sind glücklich verheiratet, haben es geschafft, ihren Beruf mit einem Privatleben zu vereinen. Der Tag, an dem diese Idylle ihr Ende findet, lässt sich genau bestimmen: Sie veranstalten ein Picknick im Grünen, als in ihrer Nähe ein Ballon abstürzt und Joe zu Hilfe eilt. Seine guten Absichten ändern nichts an dem tödlichen Ausgang des Unfalls, schlimmer noch - er ist daran zum Teil mit schuld.
M599778644;McEwan, Ian;Unschuldige;2010;256;Krimi;Die Liebesgeschichte zwischen einem Engländer und einer Deutschen im Berlin der 50er Jahre - zugleich ein Psychokrimi und eine Persiflage auf die west-östlichen Geheimdienste.
M595664844;McFadyen, Cody;Ausgelöscht;2010;459;Thriller;Special Agent Smoky Barrett vom FBI ist weiterhin auf der Jagd nach geisteskranken Verbrechern. Sie und ihr Team verfolgen einen cleveren Serientäter, der seine Opfer entführt und verstümmelt.
M595664471;Mecklenburg, Heinz;Wi snackt platt;2009;49;Plattdeutsch;Wi snackt platt   -   Plattdeutsche Geschichten
M595661250;Mitgutsch, Anna;Wenn du wiederkommst;2010;271;Belletristik;Eine namenlose Ich-Erzählerin trauert um den Tod ihres geliebten Lebensgefährten. Quälend intensive Auseinandersetzung mit der Trauer in all ihren Facetten.
M595664409;Moor, Dieter;Was wir nicht haben, brauchen Sie nicht;2009;297;Belletristik;"Dieter Moor und seine Frau Sonja beschließen, ihr beschauliches Schweizer Domizil aufzugeben und stattdessen einen Bauernhof in Amerika zu kaufen und zu bewirtschaften - dass ""Amerika"" ein Dorf in Brandenburg ist, macht aus der Sache kein geringeres Wagnis."
M595665108;Mulisch, Harry;Die Entdeckung des Himmels;1995;797;Belletristik;"Eine in dieses umtriebige und abgründige Jahrhundert ausschwärmende Geschichte über eine ungewöhnliche Freundschaft, eine Liebe, die aufmüpfigen sechziger, die pragmatischen siebziger und die windigen achtziger Jahre und den langen Nachhall der Kriegs- und Nachkriegszeit; über ein ungewöhnliches Kind, das einen noch ungewöhnlicheren ""Auftrag"" hat; einen Astronomen und Don Juan, der nie zur Ruhe kommt, und ein Sprachgenie, das in der Politik Karriere macht."
M595665356;Müller, Herta;Niederungen;2010;172;Erzählung;Ein Dorfmädchen erlebt intensiv im noch sozialistischen Banat Rumäniens das menschliche Mit- und Gegeneinander, Folklore, Alltag, familiäre Katastrophen, den Verfall einer ländlichen Idylle.
M595665076;Müller, Ina;Dree in Een;2009;270;Plattdeutsch;"Sonderausgabe: ""Platt is nich uncool"", ""Mien Tung is keen Flokati"" und ""Schöönheit vergeiht, Hektar besteiht"" komplett in einem Band"
M595664576;Nehberg, Rüdiger;Echt verrückt!;2005;269;Reisen;erlebte Geschichten / Rüdiger Nehberg. Mit Cartoons von Kim Schmidt
M595665133;Nicholls, David;Zwei an einem Tag;2009;541;Belletristik;Von 1988 bis 2007, immer am 15. Juli, werden wir Zeuge, wohin sich die Beziehung zwischen dem Lebemann Dexter und der klugen, eher bescheidenen Emma entwickelt: von einer unverbindlichen Liebesnacht über vorsichtige Annäherung zu tiefer Freundschaft. Doch wird es ein Happy End geben?
M595664799;Noack/Bickerich;Helmut Kohl;2010;299;Biografie;Die Biografie erscheint anlässlich des 80. Geburtstages des Exkanzlers und beschreibt Licht- und Schattenseiten des Politikers: seinen Aufstieg, seinen Machtinstinkt, die Regierungzeit und die problembeladenen Jahre danach.
M59566578X;Nottelmann, Nicole;Die Karrieren der Vicki Baum;2007;441;Biografie;Eine Lebensgeschichte, so spannend wie ein Roman. 
M599778620;Oelker, Petra;Mit dem Teufel im Bunde;2010;336;Krimi;Die inzwischen bürgerlich verheiratete ehemalige Komödiantin Rosina klärt mit dem Hamburger Weddemeister um 1772 einen Mord an einer vermögenden hanseatischen Kauffrau auf, die in der St. Katharinen-Kirche brutal erschlagen wurde.
M595665413;O'Faolain, Nuala;Nur nicht unsichtbar werden;2001;252;Erlebnisbericht;Nuala rebelliert gegen das Lebensmuster, das im katholischen Irland für Frauen vorgesehen ist: Heirat und Kinder, Alkohol und Gewalt. Und doch sucht sie immer wieder Zuflucht in Affären und trinkt, bis ihr das Leben zu entgleiten droht.
M595661026;Palahniuk, Chuck;Lullaby;2006;254;Roman;Ein tiefer, erschütternder Blick in menschliche Abgründe und den Horror des Daseins, in Form der von Freunden und Feinden erzählten Geschichte des kurzen und spektakulären Lebens von Buster Rant Casey.
M595665088;Passig, K./Scholz, A.;Verirren;2010;268;Humor, Satire;Eine lehrreiche und amüsante Umwertung und Rehabilitation der Fähigkeit, sich zu verirren.
M595661225;Petterson, Per;Ich verfluche den Fluss der Zeit;2009;238;Roman;Arvids Mutter hat Krebs. Sie will auf ihre Weise damit umgehen, aber ihr längst erwachsener Sohn kann das nicht akzeptieren. Die Krankheit der Mutter wird ihm zum Anlass zahlreicher Reflexionen über das eigene Leben.
M595665368;Philips, A./Lahutsky, J.;Wolkengänger;2010;348;Erlebnisbericht;Tatsachenbericht eines heute 18-jährigen Jungen über die unmenschlichen Bedingungen in russischen Waisenheimen.
M595660900;Picoult, Jodi;Beim Leben meiner Schwester;2009;478;Erlebnisbericht;Ohne ihre Schwester Anna kann Kate Fitzgerald nicht leben: Sie hat Leukämie. Doch eines Tages weigert sich die dreizehnjährige Anna, weiterhin Knochenmark für ihre todkranke Schwester zu spenden.
M59566446X;Prüfer, Benjamin;Same same but different;2009;328;Erlebnisbericht;Die erstaunliche Liebesgeschichte zwischen einem jungen deutschen Journalisten und einem kambodschanischen Mädchen, das als Prostituierte arbeitete.
M595664446;Raabe, Wilhelm;Stopfkuchen;2010;330;Krimi;Ein ungeklärter Mord überschattete einst die Kindheit von Eduard, Heinrich und Valentine. Als sie Jahrzehnte später wieder aufeinandertreffen, führt die überraschende Lösung des Falls zu der Erkenntnis, dass nichts so ist, wie es schien.
M59566511X;Raabe, Wilhelm;Chronik der Sperlingsgasse;2009;223;Roman;"Der Gelehrte Johannes Wachholder unterbricht die Arbeit an seinem Werk ""De vanitate hominum"", um während eines Winters und Frühlings die Begebenheiten in der Berliner Sperlingsgasse aufzuzeichnen, in der er wohnt. Raabes frühe Großstadterzählung entwirft ein realistisches Bild der politischen und sozialen Situation in Deutschland um die Mitte des 19. Jahrhunderts."
M595661051;Ragde, Anne B.;Das Lügenhaus;2007;318;Familie;3 Brüder treffen sich am Bett der sterbenden Mutter nach vielen Jahren wieder und stellen sich endlich ihrer Vergangenheit, damit sie sich annähern können.
M595661274;Ragde, Anne B.;Das Lügenhaus;2007;318;Familie;3 Brüder treffen sich am Bett der sterbenden Mutter nach vielen Jahren wieder und stellen sich endlich ihrer Vergangenheit, damit sie sich annähern können.
M59566104X;Ragde, Anne B.;Einsiedlerkrebse;2010;318;Familie;Die furiose Familiensaga geht weiter: Nach dem Tod der Mutter werden auf Hof Byneset die Karten neu gemischt. Die Brüder Margido und Erlend meiden den heruntergekommenen Familienhof nahe Trondheim. Beide führen auf ihre Weise ein erfülltes Leben.
M595665332;Ragde, Anne B.;Hitzewelle;2009;317;Familie;Letzter Band der Trilogie um den Neshov bei Trondheim: Torunn versorgt den Hof mehr recht als schlecht, versorgt die Schweine und den Großvater - notdürftig von einem Bauernhelfer und ihren beiden Onkeln unterstützt. Aber es ist zu viel.;
M595661038;Rai, Edgar;Nächsten Sommer;2010;236;Belletristik;6 junge Leute machen sich auf den Weg nach Südfrankreich, Freiheit und Abenteuern entgegen. Zauberhaftes Roadmovie, in dem jeder der Freunde sich die Frage nach dem Sinn des Lebens stellt.;
M595665381;Razumovsky, Dorothea;Letzte Liebe;2009;150;Belletristik;"Einsamkeit und Demenzängste quälen eine 80-jährige Witwe, bis ihr im Seniorenstift der halbwüchsige Wowa begegnet. Die mütterliche ""letzte Liebe"" führt zu neuem Lebensmut: ""Ich bin glücklich, denn ich werde gebraucht.""";
M595665486;Rebel, Benny;Mein Abenteuer Wildnis;2010;236;Erlebnisbericht;Die faszinierenden und teils auch lebensgefährlichen Abenteuer und Erlebnisse des Naturfotografen im südlichen Afrika, auf den Galapagos-Inseln sowie in Indien und im Iran.;
M595664670;Reich, Annika;Durch den Wind;2010;329;Frauen;Yoko, Friederike, Alison und Siri leben in Berlin und gehören der Generation 30 plus an. Für die Freundinnen stellt sich die Frage, wo ihr Leben hingehen soll.;
M595664483;Reuter, Fritz;Läuschen un Rimels;2007;537;Plattdeutsch;Polterabend -Gedichte in hochdeutscher und niederdeutscher Mundart.;
M595665766;Riemann, Erika;Die Schleife in Stalins Bart;2002;253;Erlebnisbericht;ein Mädchenstreich, acht Jahre Haft und die Zeit danach;
M595660867;Röhrig, Tilman;Wir sind das Salz von Florenz;2010;895;Belletristik;Das Florenz der Renaissance  --  Zwischen Lorenzo de´Medici und Girolamo Savonarola  --;
M595664901;Römmer, Dirk;Schiet ok !;2009;91;Plattdeutsch;Geschichten aus seiner Heimat;
M595664726;Rong, Jiang;Der Zorn der Wölfe;2008;703;Belletristik;Ein junger Chinese lernt während eines Aufenthaltes in der Inneren Mongolei das harte Leben der Nomaden und das Verhalten der Wölfe kennen.;
M595664893;Rudolph, Hermann;Richard v. Weizsäcker;2010;285;Biografie;Die Biografie des ehemaligen Bundespräsidenten spürt den persönlichen Motivationen für seinen Aufstieg und der unvergleichlichen Amtsführung nach.;
M599778587;Sansom, Christopher J.;Pforte der Verdammnis;2010;399;Krimi;England im Jahre 1537: Der Londoner Rechtsanwalt Matthew Shardlake, Anhänger Cromwells und der englischen Reformationsbewegung, wird als Ermittler in einem Mordfall in ein Benediktinerkloster geschickt. Was er dort erlebt, lässt ihn an der gnadenlosen Reformpolitik und den eigenen Überzeugungen zweifeln. Der Roman  beschreibt kenntnis- und detailreich eine Zeit, in der mit brutaler Konsequenz in England unter König Heinrich VIII. und fern der höfischen Herrlichkeit die Klöster geschlossen, Vermögen eingezogen und weiterverteilt, Willkür und Angst verbreitet wurden. ;
M595665729;Schädlich, Hans Joachim;Kokoschkins Reise;2010;188;Belletristik;Auf einer Schiffsreise zurück nach New York erinnert sich der Exilrusse Fjodor Kokoschkin an markante Ereignisse aus seinem langen Leben, die fast ein politisches Jahrhundert geprägt haben.;
M599778619;Schätzing, Frank;Tod und Teufel;2010;448;Krimi;Köln, 1260: Der machtbesessene Erzbischof Konrad hat sich mit den Patriziern der wohlhabenden Stadt verfeindet. Als der Dombaumeister einem Anschlag zum Opfer fällt, wird bald das ganze Ausmaß einer blutigen Intrige gegen die Kirche sichtbar.;
M595665401;Schambach, Sigrid;Johann Hinrich Wichern;2008;184;Biografie;Informationen über Leben und Wirken des in Hamburg 1808 geborenen Theologen und Pädagogen Johann Hinrich Wichern, dem Begründer des Rauhen Hauses, in dem benachteiligte Jugendliche ein Zuhause finden.;
M595665015;Schirach, Ferdinand von;Verbrechen;2009;205;Erlebnisbericht;Der Autor, Anwalt und Strafverteidiger in Berlin, stellt ungewöhnliche Fälle aus seiner Praxis vor, in denen Angeklagte Hilfestellung von einer humanen Justiz erfahren und milde Urteile erreichen.;
M595665238;Schirach, Ferdinand von;Schuld  ;2010;199;Erzählung;Neue Fälle aus der Praxis des Berliner Anwalts und Strafverteidigers. Menschliche Schicksale, die vor Gericht gebracht werden, verdichten sich zu Literatur.
M595660985;Schlenz, Kester;Alter Sack, was nun?;2009;220;Humor, ;Sammlung von Informationen, Überlegungen, Schlussfolgerungen und Merksätzen zu allen Themen, die den Männern auf der falschen Seite von 50 begegnen. Mit Cartoons von Til Mette.
M595665437;Schmidt, Helmut / Stern, Fritz;Unser Jahrhundert;2010;286;Politik;Der ehemalige Bundeskanzler und der aus Deutschland stammende amerikanische Historiker führen Gespräche über algemein interessierende Themen der jüngsten deutschen Geschichte und zu aktuellen internationalen Fragen.
M595664694;Schmidt, Susanne;Markt ohne Moral;2010;208;Wirtschaft;"Die Autorin ist seit 30 Jahren in leitenden Positionen in der Londoner Finanzwelt tätig. Sie berichtet von der aktuellen Finanzkrise; von gierigen Bänkern, falsch beratenden Politikern, untätigen Aufsichtsbehörden ..."
M595660879;Scholl-Latour;Afrikanische Totenklage;2003;539;Erlebnisbericht;Der Ausverkauf des Schwarzen Kontinents.
M595665778;Schulz, Frank;Mehr Liebe - Heikle Geschichten;2010;210;Belletristik;
M595664820;Schümer, Dirk;Zu Fuß;2010;206;Erlebnisbericht;Der Autor, selbst leidenschaftlicher Wanderer, erzählt kurzweilig von der Geschichte und Entwicklung des Wanderns.
M595664588;Schwarz, Friedhelm;Verstehen Sie Ihren Verstand?;2010;240;Wissenschaft;Der Autor berichtet über die Methoden, Experimente und Ergebnisse neurowissenschaftlicher Forschungen und beschreibt, welche Schlüsse für den Alltag aus den bisherigen Erkenntnissen zu ziehen sind.
M595665835;Seddig, Katrin;Runterkommen;2010;382;Belletristik;Lieben und geliebt werden - das funktioniert in diesem Roman hervorragend, nur nie mit dem Menschen, mit dem man es sich erhofft. So liebt Erik Dani, die wiederum von Tom begehrt wird, den Zuzanna sehr interessant findet, aber Zuzanna hat eigentlich schon einen Freund ...
M595661156;See, Lisa;Töchter aus Shanghai;2009;445;Belletristik;Die Schwestern Pearl und May werden von ihrem Vater an amerikanische Chinesen verkauft. Auf der Flucht vor den feindlichen Japanern wird Pearl vergewaltigt. Damit nicht genug, warten in Amerika Demütigungen und weitere Schicksalsschläge auf die tapferen Schwestern, aber auch stilles Glück.
M595664937;Simpson, Helen;Gleich, Schätzchen;2010;239;Belletristik;9 weibliche Lebensentwürfe zwischen Mutter-Dasein, Eheleben und Karriere werden ausgelotet.
M595661120;Sparks, Nicholas;Mit Dir an meiner Seite;2010;543;Liebe;Die 17-jährige Ronnie soll die Ferien bei ihrem Vater verbringen. Davon ist sie nicht begeistert, denn sie hat ihm nie verziehen, dass er die Familie vor 3 Jahren verlassen hat. Doch dann verliebt sie sich in den jungen Will und plötzlich sieht die Welt ganz anders aus, bis dunkle Wolken am Horizont auftauchen ...
M59566459X;Steinmüller, Angela;Darwins Welt;2008;316;Biografie;Biographie des berühmten englischen Naturforschers Charles Darwin (1809-1882), dessen Evolutionstheorie noch heute nicht ausdiskutiert ist.
M595665202;Stiftung Warentest (Barr, Karin);Bankentricks;2009;160;Ratgeber;Unter den Rubriken Geldanlage, Bankverbindung, Darlehen werden Fallen und Lockangebote aufgezeigt. Beispiele sind bessere Zinsen bei Tagesgeldkonten für Erstkunden, fantasievolle Zertifikate, hohe Gebühren bei Girokonto oder schöngeredete Immobilienfinanzierungen.
M59566117X;Strout, Elisabeth;Mit Blick aufs Meer;;351;Belletristik;Die ehemalige Mathematiklehrerin Olive Kitteridge lebt in der kleinen Küstenstadt Crosby, Maine. Um sie herum ranken sich die Geschichten der Bewohner des Ortes.
M595665636;Suter, Martin;Der Koch;2010;311;Krimi;"Maravan, Koch aus Sri Lanka, lebt als Asylant in Zürich. Mit seiner Kollegin startet er einen Catering-Service der aphrodisischen Art. Doch der Erfolg lockt auch zwielichtige Kundschaft aus Politik und Wirtschaft; so lassen die Probleme nicht lange auf sich warten."
M595661132;Swann, Leonie;Garou;2010;414;Krimi;"In Frankreich finden die Glenkill-Schafe und ihre Schäferin Rebecca ein Feriendomizil nahe eines Schlosses. Doch dort scheint ein mörderischer Werwolf, ein ""loup garou"", sein Unwesen zu treiben - und aus ist es mit der Ruhe, die Detektive im Schafspelz haben eine neuen Fall."
M595664552;t'Hart, Maarten;Ein Schwarm Regenbrachvögel;2004;222;Belletristik;Als kleiner Junge  wächst er in einer abgeschiedenen Gärtnerei auf. Auch in der Schule bleibt er ein Außenseiter - er wohnt so weit weg, das er als einziger Schüler auch Mittags in der Schule bleiben muss. Gleichzeitig ist er auch noch klug und schüchtern. So beobachtet er immer nur die anderen Kinder beim Spielen.
M595664986;t'Hart, Maarten;Der Schneeflockenbaum;2009;413;Belletristik;Ein seltsamer Mechanismus bestimmt das Leben der beiden Freunde, die trotz ihres Konkurrenzverhaltens lebenslang nichts trennen kann: Jouri interessiert sich nur für weibliche Wesen, die der Ich-Erzähler begehrt. Und da die Frauen Jouri einfach nicht widerstehen können, spannt er sie seinem Freund aus. 
M595664621;t'Hart, Maarten;Die schwarzen Vögel;2001;313;Belletristik;Jenny mit den schwarz lackierten langen Fingernägeln verschwindet, und natürlich gerät unter Verdacht, wer zuletzt mit ihr gesehen wurde: Thomas Kuyper, Pharmakologe in einem Tierforschungslabor. Seine Frau war eine Woche verreist, er hatte nicht der Versuchung widerstanden – nun sieht sich Thomas mit den Scherben seiner Ehe und seiner Existenz konfrontiert.
M59566461X;Theorin, Johan;Öland;2009;446;Krimi;Ein dunstig-kühler Spätsommertag. Ein kleiner Junge klettert über die Steinmauer eines einsamen Hauses. Er tritt in den Nebel hinaus und verschwindet ohne jede Spur. Niemand sieht ihn je wieder. Zwanzig Jahre später erhält Julia, die Mutter des Jungen, einen ungeheuerlichen Anruf von ihrem Vater:
M595665039;Theorin, Johan;Nebelsturm;2009;446;Krimi;Ein alter Hof auf der Insel Öland, errichtet aus dem Holz eines alten Schiffswracks, der allen Bewohnern Unglück bringt. In stürmischen Winternächten hört man angeblich das Flüstern der Toten in den Wänden. Joakim ahnt von all dem nichts, als er mit seiner Familie hierherzieht. Doch dann findet man die Leiche seiner Frau, ertrunken am Strand. Nur ein Unfall?
M595665003;Thome, Stephan;Grenzgang;2009;453;Belletristik;"In einer Provinzstadt findet alle 7 Jahre ein überschäumendes, ""Grenzgang"" genanntes Heimatfest statt. Der geschiedene Kersten, dem desillusionierten Thomas und Karen, die die Stadt nie verließ, ist gemeinsam ein beängstigendes Gefühl zwischen Resignation und Euphorie."
M595664389;Tolstoi, Leo;Die Kreutzersonate;2002;175;Erzählung;Die 1890 erschienene Erzählung schildert nicht nur das Scheitern einer Ehe und deren tragisches Ende, sie geht darüber hinaus auf den Moralkodex der russischen Gesellschaft ein.
M595665320;Tolstoi, Leo;Krieg und Frieden;2002;1.645;Roman;"Historischer Hintergrund: Den historischen Hintergrund bilden die militärischen Auseinandersetzungen Russlands mit Frankreich.Inhalt: Der mit insgesamt rund 250 Figuren besetzte Roman schildert die Geschichte dreier Familien, deren Mitglieder über drei Generationen durch mehrere miteinander verflochtene Erzählstränge verbunden sind.
"
M595665287;Tolstoi, Leo;Anna Karenina;2006;1.241;Roman;Das  Romanepos verwebt die Geschichten dreier adliger Familien: Fürst Oblonski und seine Frau Dolly, Dollys junge Schwester Kitty Schtscherbazkaja und der Gutsbesitzer Lewin, sowie schließlich Anna Karenina, die Schwester des Fürsten, die mit dem Staatsbeamten Karenin verheiratet ist. Annas Liebesaffäre mit dem Grafen Wronskij führt schließlich zum Bruch der Ehe und ihrer Selbsttötung.
M595661099;Torres Blandina, Alberto;Salvador und der Club der unerhörten Wünsche;2010;223;Roman;Episodenroman über den Putzmann Salvador, der auf einem Flughafen arbeitet und die wartenden Passagiere mit humorvollen, erstaunlichen und philosophischen Geschichten unterhält.
M599778599;Tremayne, Peter;Das Konzil der Verdammten;2010;336;Krimi;Schwester Fidelma und ihr Lebenspartner Eadulf lösen in einem burgundischen Kloster nicht nur einen Mord an einem irischen Abt, sondern finden auch zahlreiche aus dem Kloster verschwundene Frauen und Kinder.
M595665121;Uschmann, Oliver;Feindesland;2010;400;Belletristik;"Der härteste ""Hartmut und ich""-Roman seit Beginn der Kultserie: Der Philosoph und der Packer aus dem Ruhrpott gehen dahin, wo längst keine Gefangenen mehr gemacht werden - nach Berlin. Eine Achterbahnfahrt durch den Wahnsinn unserer Republik und die Herzen von Männern, die zur Rettung ihrer Liebe plötzlich echte Gefechtstürme bauen müssen."
M595664962;v. Weizäcker, Richard;Der Weg zur Einheit;2009;222;Geschichte;Der ehemalige Bundespräsident schildert in seinen Erinnerungen den Weg zur deutschen Einheit. Dabei verbindet er persönliche Erlebnisse mit Betrachtungen zur deutschen Geschichte, zu Traditionen in Ost und West sowie zu den großen Herausforderungen der Zukunft.
M595665064;Verlag: Quickborn;Dat lütte Vörleesbook;;;;
M595664832;Vogel, Liselotte;Ich lebe weiter selbstbestimmt;2009;180;Ratgeber;Persönliche Erfahrungen vom Leben in einem Altersstift (Augustinum), verbunden mit Anregungen für die eigene Wahl von Wohn- und Pflegealternativen.
M595664669;Vosseler, Nicole;Sterne über Sansibar;2010;540;Belletristik;Die abenteuerliche Geschichte einer Prinzessin von Sansibar, die sich in einen jungen Deutschen verliebt, mit diesem nach Deutschland flieht und nach einem Unfall ihres Gatten allein mit 3 Kindern ihre Rechte durchsetzen muss.
